Date,IWQU,SCV,MVOL,XDEM,EIMI,XDEV,IWDA + EMIM,IWDA,DBMF_Testfolio,SCV+MOM,Gov global EUR,SGLD
11/1994,,10000.0,15054.18922439484,9332.18250252872,10691.146309241143,,9567.236496191146,65866.59025232836,,10000.0,28218.05021532974,7088.560401219971
12/1994,,10374.148937819562,15609.398024608192,9575.213960437166,10470.752149038992,,9790.099449774149,67848.79977761372,,10317.285948294477,28287.867160389585,7222.2061312359165
01/1995,,10125.357615800956,15076.340821166816,9060.974478344986,9378.73930938337,,9357.168728117123,65448.54706750986,,9917.370877997562,28675.115457380878,6934.032637627984
02/1995,,10357.013283636948,15153.664626901196,9038.03463763445,9278.42112704387,,9371.742346892324,65660.13148552408,,10020.907996049082,29113.15316523869,6885.572640182153
03/1995,,10114.856527415144,15270.144360614577,9209.582135685288,8944.298261978714,,9391.403347429688,66135.2359158385,,9991.74139634819,29579.362276754448,6892.303290975203
04/1995,,10140.27862669479,15416.707983767634,9431.48336417188,8972.859382495431,,9518.14169389995,67115.65392842746,,10123.342763674398,30030.30201401862,6721.634358247558
05/1995,,10524.283863392995,15964.597755374562,9606.724602556318,9661.713218955623,,9802.614687662272,68720.20391014074,,10409.2361939193,31097.106512762944,6730.044066035975
06/1995,,10768.018297481798,15875.49566512346,9782.380477007046,9550.811024925217,,9712.586250575836,68110.56963521107,,10625.216376715887,31152.788436309544,6721.649793849603
07/1995,,11150.15305045356,16185.087790352556,10040.99550469657,9612.48912819008,,10041.65296911134,70672.21116160056,,10954.844603045543,31367.062736611184,6580.034929798567
08/1995,,11553.341066347415,16471.326951275812,10281.197076907636,9632.90262248988,,10107.147300427529,71174.16333573824,,11285.13389323003,31640.846167959167,6761.576259599476
09/1995,,11887.93402425096,17114.901228292358,10920.270267237001,9702.42721354317,,10491.840858922758,74171.33785793373,,11794.833229260628,32065.498513504717,6877.87754757801
10/1995,,11275.503272083177,16778.284426195252,10881.140987098403,9262.536179339626,,10147.16389550601,71852.16986408905,,11467.653153800144,32451.997151295032,6747.078572329535
11/1995,,11544.96396511538,17197.948207685655,11262.549103923571,9021.387188799386,,10449.171415303026,74491.96140926289,,11806.734474336428,33071.19592343217,6852.662611235213
12/1995,,11951.95561534758,18176.62857267013,11607.472586217205,9575.452325007533,,10940.430456766822,77868.11680717299,,12195.639134599673,33400.414679905385,6941.442222553596
01/1996,,12130.90562193102,18841.83937266397,12101.342205778752,10446.791524134003,,11342.113988775418,80222.9561344491,,12546.00913339499,33707.73549656044,7368.192005218503
02/1996,,12564.417662159987,18869.07672829815,12344.762205519568,10360.051887681477,,11449.018725485668,81158.72671395337,,12895.270679540186,33224.90565144398,7320.994491745818
03/1996,,12891.203172764872,18986.88400471991,12485.053139478629,10359.242273414364,,11609.730778454108,82439.80175818558,,13135.90296726107,33320.74366192737,7237.800380500543
04/1996,,13446.641244874598,19531.239988684807,12717.866750098248,10809.144724192718,,11996.012529798343,85080.69828367693,,13541.950369717995,33425.3901680223,7206.50762453306
05/1996,,14029.582363839398,19834.25884371609,13132.974788103887,10791.26125956552,,12130.568545404518,86169.96496311706,,14057.61237472846,33563.18936588695,7279.946610480625
06/1996,,13678.75501161488,19840.483694978542,13313.916637215883,10742.050907200732,,12092.582956486704,85916.92201673376,,13973.063679901888,33861.001347413774,7065.352007399013
07/1996,,12747.615570936223,18998.52775997725,12596.975407693908,9856.472028809396,,11438.855765664168,81604.19742011421,,13121.146385479931,34006.65223901503,7018.102960612808
08/1996,,13162.213767404082,19074.33631441522,12641.459251655331,10011.114329244429,,11481.129589806156,81777.05253515508,,13356.462393574657,34270.1969039075,6975.235003924632
09/1996,,13565.499421615164,19634.39148589256,13327.359570115608,10169.294506514923,,11988.24425027984,85698.34501251795,,13922.198141471064,34897.00077135986,6900.057109808075
10/1996,,13655.484829290132,19904.861894222904,13484.754045938007,9914.375968393317,,12059.11713944549,86548.02252183239,,14050.710751554094,35492.98970007713,6930.653047836061
11/1996,,14027.3362567497,20704.32505729764,14090.280440213612,9920.64728141384,,12513.385364805708,90208.13922010452,,14558.24429509074,36102.23575992756,6693.8693604111495
12/1996,,14665.868571965382,21093.246835810754,14256.897172276183,10143.327942083532,,12605.684579001678,90710.7234552838,,14975.669258924898,35979.12396404003,6809.775791550215
01/1997,,15410.658532399484,21691.552472766816,15315.131623365498,11118.51688622152,,13179.826436243675,94283.44394756288,,15908.84885342803,36257.73086051012,6539.767031420791
02/1997,,16044.807978330413,22845.10100566999,16038.973915656865,12158.824250591726,,13966.944723718298,99504.44695551237,,16611.865458541146,36379.49129704851,7083.458982292596
03/1997,,15926.93925166428,22604.271765822818,15864.933720573825,11990.815749951638,,13838.379663712733,98649.5857105308,,16460.790348136925,36135.94083216116,6956.865156682655
04/1997,,15908.984104503314,22967.925540890606,16917.611632395103,11830.530519284892,,14282.546266683696,102409.52109379906,,16995.29262091228,36494.51466471492,6833.985275612539
05/1997,,17134.117869628724,24250.159665187475,17738.21127463731,11960.454090860689,,15039.589052789455,108379.05241005546,,18054.97062151209,36667.46893353087,6922.2218372514
06/1997,,18176.86205852636,25401.488883891667,18937.878674974912,12694.177344672442,,15964.20619234849,115044.04281074445,,19215.830928537885,37171.67392981217,6776.179305184707
07/1997,,19389.69754387393,26933.91800425108,20941.22581885219,13168.390313875529,,17089.327583597133,123671.61124857567,,20880.14140524434,37877.6753462735,6794.005681242847
08/1997,,20303.8000264753,26090.2496139659,19778.03543096728,11805.927189443775,,16272.975633564804,118670.0998049712,,20753.580139334448,37758.41048575944,6966.38140715984
09/1997,,21178.535742102213,26924.56034248336,20796.92114193851,11630.57549304684,,16630.698968203502,121816.14182357748,,21733.863919770512,38320.06305028437,6924.413398753636
10/1997,,20241.929303287125,25470.529829875253,19371.87454429724,9487.46153978501,,15266.2350508113,113290.7974401032,,20511.64881862916,38667.283491518,6374.959849236068
