Date,Vt,10g,10gd,10gdb
04/2013,15652.66,18230.31,19735.25,21314.67
05/2013,15566.27,18045.23,19514.58,21032.83
06/2013,15153.46,17448.4,18892.97,20391.53
07/2013,15937.1,18379.56,19787.93,21214.75
08/2013,15546.9,18033.35,19431.98,20882.96
09/2013,16416.74,18895.31,20241.03,21615.68
10/2013,17026.78,19543.02,20891.07,22222.35
11/2013,17290.92,19751.33,21117.04,22404.54
12/2013,17671.3,20109.83,21470.88,22691.69
01/2014,16887.04,19376.03,20735.49,22118.26
02/2014,17768.76,20410.2,21747.33,23034.03
03/2014,17855.78,20430.55,21754.85,23019.3
04/2014,17988.64,20577.93,21907.74,23183.12
05/2014,18357.96,20891.15,22249.33,23509.8
06/2014,18764.97,21440.75,22800.37,24016.74
07/2014,18437.57,21025.5,22378.73,23624.39
08/2014,18927.37,21536.02,22953.17,24177.31
09/2014,18296.5,20757.73,22245.53,23530.59
10/2014,18470.57,20875.06,22391.05,23668.96
11/2014,18705.05,21106.24,22744.26,24034.23
12/2014,18334.96,20753.44,22455.05,23802.02
01/2015,18037.24,20631.2,22459.24,23950.26
02/2015,19111.96,21593.44,23364.65,24652.94
03/2015,18882.55,21314.75,23134.46,24473.3
04/2015,19365.18,21803.63,23531.96,24788.88
05/2015,19430.8,21882.67,23603.21,24833.68
06/2015,19000.6,21413.47,23053.84,24295.13
